series	episode	flag	alien	depiction	significance	comments	disposition	technology	formidability	conservation	class	realm	alignment	place of origin	allegiance	human stereotype	attributes	notes
tng	1x01		Altarian	mentioned	0.0		0.0	5.2	5.2	LC	humanoid	terrestrial	fed	Altair System	Federation			
tng	1x01		Bandi	appeared	1.0	space jellyfish kidnappers	-0.8	4.0	4.0	NT	humanoid	terrestrial	friend	Deneb IV	Federation Ally	human	isolationist	
tng	1x01		Ferengi	mentioned	0.1		-0.5	5.2	5.2	LC	humanoid	terrestrial	foe	Ferenginar	Ferengi Alliance	avaricious	single minded	
tng	1x01		Jellyfish-like Space Creature	appeared	1.0	one was trapped and exploited by the Bandi, its mate came to help	0.0	0.0	5.0	CR	coelenterate	spaceborne	unaligned				monogomous, starship sized	
tng	1x01		The Q	appeared	1.0		-1.0	7.2	7.2	LC	transcendental	extra-dimensional	unaligned		Q Continuum			
tng	1x01		Vulcan	appeared	0.0	Vulcan science division ensign, Vulcan boy	1.0	5.2	5.2	LC	humanoid	terrestrial	fed	Vulcan	Federation	logical	emotionally detached	
tng	1x04		Ligonian	appeared	1.0	black dudes who kidnapped Tasha	-0.4	3.2	3.2	NT	humanoid	terrestrial	friend	Ligon II	Federation Ally	Near East antique culture	traditionalist, black	
tng	1x05		Ferengi	appeared	1.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Ferenginar	Ferengi Alliance	avaricious	single minded	
tng	1x05	Y	Portal 6-3	appeared	1.0		0.5	6.2	6.2	EW	holographic	virtual			Tkon Empire			Rethink his conservation status
tng	1x05		Tkon	mentioned	1.0		0.0	6.2	6.2	EX	humanoid	terrestrial	unaligned		Tkon Empire	human		
tng	1x06		The Travelers Species	appeared	1.0		1.0	6.0	6.0	LC	humanoid	terrestrial	unaligned	Tau Alpha C		mystic	time traveler	
tng	1x07		Antican	appeared	0.5	childish dog-like species being transported	-0.2	5.0	5.0	NT	canine	terrestrial	friend	Antica	Federation Hopeful	racist	carnivirous	
tng	1x07		Beta Renner Energy Pattern	appeared	1.0		-0.5	0.0	5.2	NT	incorporeal	spaceborne	unaligned	Beta Renner Nebula				There is a strong case to be made that this culture is LC
tng	1x07		Ferengi	mentioned	0.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Ferenginar	Ferengi Alliance	avaricious	single minded	
tng	1x07		Selay	appeared	0.5	childish snake-like species being transported	-0.2	5.0	5.0	NT	reptilian	terrestrial	friend	Selay	Federation Hopeful	racist		
tng	1x08		Edo	appeared	1.0	erotic half-nudies	1.0	3.1	3.1	NT	humanoid	terrestrial	friend	Rubicun III		hedonistic	hospitable	
tng	1x08		Edo God	proxy	1.0	powerful protector of Edo	-0.2	6.2	6.2			extra-dimensional	unaligned					
tng	1x09		Ferengi	appeared	1.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Ferenginar	Ferengi Alliance	avaricious	single minded	
tng	1x10		Aldebaran	implied	0.1	Aldebaran serpent	0.0				humanoid	terrestrial	unaligned	Aldebaran III	Federation Ally			
tng	1x10	Y	Animal-things	appeared	0.5	created by Q	-1.0			EW	canine	terrestrial	unaligned		Q Continuum			
tng	1x10		Klingon	depicted	0.2	Riker conjures a Klingon female for Worf	-0.5	5.2	5.2	LC	humanoid	terrestrial	friend	QonoS	Klingon Empire	aggressive		
tng	1x10		The Q	appeared	1.0		-1.0	7.2	7.2	LC	transcendental	extra-dimensional	unaligned		Q Continuum			
tng	1x11		Alcyone	mentioned	0.1	destroyers of Tarellians	-0.5	4.2	4.2	NT	humanoid	terrestrial	unaligned					
tng	1x11		Betazoid	appeared	1.0		1.0	5.2	5.2	LC	humanoid	terrestrial	fed	Betazed	Federation	empathic	telepathic	
tng	1x11		Haven	appeared	1.0	unwilling to become hosts to the Tarellian	1.0	4.0	4.0	NT	humanoid	terrestrial	friend	Haven	Federation Ally	pacificist		
tng	1x11		Mr. Homns Species	appeared	0.5		0.8	5.2	5.2	LC	humanoid	terrestrial	friend			human		
tng	1x11		Tarellian	appeared	1.0	plague infected remnant	0.5	4.2	4.2	EW	humanoid	terrestrial	friend	Tarella		human		The epitome of EW
tng	1x12	Y	Dixon Hill Holodeck Characters	appeared	1.0		-0.7	3.0	3.0	EW	holographic	virtual						
tng	1x12		Jarada	appeared	0.5	had Picard performing a very specific greeting speech in their language	-0.5	5.1	5.1	NT	insectoid	terrestrial	friend	Torona IV			ritualistic, xenophobic, isolationist	
tng	1x12		Kaferian	depicted	0.0	Kaferian apple	0.0			NT	insectoid	terrestrial	unaligned	Kaferia			apple loving	
tng	1x13		Altairian	implied	0.0	Altairian Grand Premier was a variety of champagne	0.0	5.2	5.2	LC	humanoid	terrestrial	unaligned	Altair System	Federation			
tng	1x13		Crystalline Entity	appeared	1.0		-1.0	0.0	5.0	EW	crystalline	spaceborne	foe				vampiric, starship sized	
tng	1x13	Y	Soong Type Android	appeared	1.0	Lore	-1.0	5.2	5.2	EW	android	terrestrial						
tng	1x14		Albeni	implied	0.0	Albeni meditation crystal	0.0				humanoid	terrestrial	unaligned					
tng	1x14		Natives of Armus IX	mentioned	0.0	Riker had to wear a costume decorated in feathers during a diplomatic conference.	0.0				humanoid	terrestrial	friend	Armus IX				
tng	1x14		Natives of Quazulu VIII	suggested	0.0	Location of the Denubian Alps; Wesley Crusher contracted Hesperan thumping cough there	0.0				humanoid	terrestrial	unaligned	Quazulu VIII				
tng	1x14		People of Angel One	appeared	1.0	dominant blond babes	0.5	3.2	3.2	NT	humanoid	terrestrial	friend	Angel One		human	matriachial	
tng	1x14		Romulan	mentioned	0.1		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Romulus	Romulan Star Empire	ruthless	xenophobic, cunning, devious, logical	
tng	1x15		Bynar	appeared	1.0	binary linked space-gnomes skilled with computers	0.5	5.2	5.2	VU	humanoid	terrestrial	fed	Bynaus	Federation Ally		novel society	
tng	1x15	Y	Minuet	appeared	0.5	red dress holodeck babe	0.5	3.0	3.0	EW	holographic	virtual						
tng	1x16		Mordanite	appeared	1.0	kidnapped someone	-1.0	4.1	4.1	NT	humanoid	terrestrial	foe	Mordan IV		human		
tng	1x16		Natives of Cerberus II	mentioned	0.1	provided a youth serum, otherwise unknown	0.2			NT	humanoid	terrestrial	unaligned	Cerberus II		human		
tng	1x17		Aldean	appeared	1.0	decadent species hiding behind a planetary cloak, dependent on their main computer	0.0	6.1	6.1	EN	humanoid	terrestrial	foe	Aldea		human		
tng	1x17		Neinman	mentioned	0.0	Civilization comparable to Atlantis.	0.0				humanoid	terrestrial	unaligned	Xerxes VII				
tng	1x18		Microbrains of Velara III	appeared	1.0	crystals threatened by terraformers fight back _ thinks humans are ugly bags of mostly water	-1.0	0.0	5.0	VU	crystalline	subterranean	friend	Velara III			collective	
tng	1x19		Benzite	appeared	0.5	ugly with some strange breathing device, Mordac	1.0	5.2	5.2	LC	humanoid	terrestrial	fed	Benzar	Federation	human	meticulous	
tng	1x19		Bulgallian	suggested	0.0	Bulgallian rat	0.0						unaligned					
tng	1x19		Edo	mentioned	0.0		-0.5	3.1	3.1	NT	humanoid	terrestrial	friend	Rubicun III		hedonistic	hospitable	
tng	1x19		Ferengi	mentioned	0.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Ferenginar	Ferengi Alliance	avaricious	single minded	
tng	1x19		Mellanoid	suggested	0.0	Mellanoid slime worm	0.0						unaligned					
tng	1x19		The Travelers Species	mentioned	0.0		1.0	6.0	6.0	LC	humanoid	terrestrial	unaligned	Tau Alpha C		mystic	time traveler	
tng	1x19		Vulcan	appeared	0.5	female competitor with Wesley	1.0	5.2	5.2	LC	humanoid	terrestrial	fed	Vulcan	Federation	logical	emotionally detached	
tng	1x19		Zaldan	appeared	0.5	bullied Wesley in the corridor	0.8	5.2	5.2	LC	humanoid	terrestrial	fed		Federation	aggressive		
tng	1x20		Ferengi	mentioned	0.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Ferenginar	Ferengi Alliance	avaricious	single minded	
tng	1x20		Klingon	appeared	1.0	patriots chased by other Klingons die in glorious battle on Enterprise	-0.5	5.2	5.2	LC	humanoid	terrestrial	friend	QonoS	Klingon Empire	aggressive		
tng	1x20		Romulan	mentioned	0.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Romulus	Romulan Star Empire	ruthless	xenophobic, cunning, devious, logical	
tng	1x20		Talarian	mentioned	0.0		0.0	4.2	4.2	LC	humanoid	terrestrial	foe			human	patriarchal, xenophobic, traditional	
tng	1x21		Minosian	mentioned	1.0	suppliers of deadly automated weapons wiped out by their own produce	-0.2	6.0	6.0	EX	humanoid	terrestrial	unaligned	Minos		human		
tng	1x22		Brekkian	appeared	1.0	drug dealer exploiting the Ornaran	-0.2	3.2	3.2	NT	humanoid	terrestrial	unaligned	Brekka		human	electric, symbotic, novel society	
tng	1x22		Ornaran	appeared	1.0	junkies of the Brekkians	-0.2	3.2	3.2	NT	humanoid	terrestrial	unaligned	Ornara		human	electric, symbotic, novel society	
tng	1x23		Slick of Malevolent Tar	appeared	1.0	Armus	-2.0	0.0	6.1	EN	shapeshifter	terrestrial	foe	Vagra II			malovent	
