series	episode	flag	alien	depiction	significance	comments	disposition	technology	formidability	conservation	class	realm	alignment	place of origin	allegiance	human stereotype	attributes	notes
tos	0x01		Talosian	appeared	1.0		0.8	6.1	6.1	CR	humanoid	terrestrial	foe	Talos IV			telepathic, hedonistic, buttheads	
tos	0x01		Kalar	appeared	0.2	Kalar warrior battles Pike	-1.0	2.1	2.1	NT	humanoid	terrestrial	foe	Rigel VII		mongol	warriors	
tos	0x01		Orion	appeared	0.0	Orion slave girl	-0.5	5.2	5.2	LC	humanoid	terrestrial	foe	Orion	Orion Syndicate, Orion Free Traders	mafia	green, matriarchical 	
tos	1x01		Kaferian	suggested	0.0	Kaferian apple	0.0			NT	insectoid	terrestrial	unaligned	Kaferia			apple loving	
tos	1x01		Natives of Canopus Planet	mentioned	0.1	Tarbolde wrote Nightingale Woman in 1996.	0.0				humanoid	terrestrial	friend	Canopus Planet		romantic		
tos	1x01		Natives of Dimorus	suggested	0.0	Species of indigenous rodents shooting poison darts.							unaligned					
tos	1x02		First Federation	appeared	1.0		0.5	6.2	6.2	LC	humanoid	terrestrial	friend				midget	
tos	1x03		People of Saturnius	mentioned	0.0	harem girls	0.1				humanoid	terrestrial	friend	Saturnius	Federation			
tos	1x04		Saurian	implied	0.0	Saurian brandy	0.0				reptilian	terrestrial	friend	Saurian homeworld				
tos	1x05		Hedonists of Wrigleys Pleasure Planet	mentioned	0.0		0.8				humanoid	terrestrial	unaligned	Wrigleys Pleasure Planet		hedonistic		
tos	1x05		Salt Vampires of Planet M-113	appeared	1.0		-0.5	2.0	2.0	EX	shapeshifter	terrestrial	foe	Planet M-113			sodium craving monster	
tos	1x07		Saurian	implied	0.0	Saurian brandy	0.0	5.2	5.2	LC	reptilian	terrestrial	friend	Saurian homeworld	Federation			
tos	1x07		Thasian	appeared	1.0	Charlies caretakers.	0.8	7.1	7.1	LC	incorporeal	unbounded	unaligned	Thasus			highly responsible	
tos	1x08		Romulan	appeared	1.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	foe	Romulus	Romulan Star Empire	ruthless	xenophobic, cunning, devious, logical	
tos	1x08		Vulcan	mentioned	0.2	Spock hypothesizes the Romulans are a Vulcal offshoot. 	1.0	5.2	5.2	LC	humanoid	terrestrial	fed	Vulcan	Federation	logical	emotionally detached	
tos	1x09		Androids of Exo III	appeared	1.0	Ruk	-0.8	6.0	6.0	EX	android	terrestrial	unaligned	Exo III				
tos	1x09		Old Ones of Exo III	mentioned	1.0		0.0	6.0	6.0	EX	humanoid	terrestrial	unaligned	Exo III				
tos	1x09		Orion	mentioned	0.0	Corby translated medical records found in Orion ruins.	-0.5	5.2	5.2	LC	humanoid	terrestrial	foe	Orion	Orion Syndicate, Orion Free Traders	mafia	green, matriarchical 	
tos	1x11		Onlies	appeared	1.0		0.0	3.2	3.2	EW	humanoid	terrestrial	unaligned	Miris Planet				
tos	1x12		Arcturian	mentioned	0.0	Like Shakespeare	1.0	5.0	5.0	LC	humanoid	terrestrial	fed		Federation		cloners	
tos	1x12		Saurian	implied	0.0	Saurian brandy	0.0	5.2	5.2	LC	reptilian	terrestrial	friend	Saurian homeworld	Federation			
tos	1x13		Hansens Planet Anthropoids	mentioned	0.1	Similar to the Taurus II Anthropoids.	0.0	1.0	1.0	NT	humanoid	terrestrial	unaligned	Hansens Planet			brutish, giant, territorial	
tos	1x13		Taurus II Anthropoids	appeared	1.0	Ape-like creatures	-0.9	1.0	1.0	NT	primate	terrestrial	foe	Taurus II (Murasaki 312)			brutish, giant, territorial	
tos	1x14		Axanar	mentioned	0.0	Axanar Peace Mission	0.3	5.2	5.2	LC	humanoid	terrestrial	friend	Axanar			androgynous	
tos	1x14		Grankite	mentioned	0.0	Grankite Order of Tactics	0.8	5.2	5.2	LC			unaligned					
tos	1x14		Karagite	implied	0.0	Karagite Order of Heroism	0.8	5.2	5.2	LC			unaligned					
tos	1x14		People of Prentares	mentioned	0.0	Prentares Ribbon of Commendation	0.8	5.2	5.2	LC			friend					
tos	1x14		Saurian	implied	0.0	Saurian brandy; seen but unsaid	0.0	5.2	5.2	LC	reptilian	terrestrial	friend	Saurian homeworld	Federation			
tos	1x14		Vulcan	mentioned	0.0	Vulcanian Scientific Legion of Honor	1.0	5.2	5.2	LC	humanoid	terrestrial	fed	Vulcan	Federation	logical	emotionally detached	
tos	1x15		Talosian	appeared	1.0		0.8	6.1	6.1	CR	humanoid	terrestrial	foe	Talos IV			telepathic, hedonistic, buttheads	
tos	1x16		Kalar	appeared	0.2	Kalar warrior battles Pike	-1.0	2.1	2.1	NT	humanoid	terrestrial	foe	Rigel VII		mongol	warriors	
tos	1x16		Orion	appeared	0.0	Orion slave girl	-0.5	5.2	5.2	LC	humanoid	terrestrial	foe	Orion	Orion Syndicate, Orion Free Traders	mafia	green, matriarchical 	
tos	1x16		Talosian	appeared	1.0		0.8	6.1	6.1	CR	humanoid	terrestrial	foe	Talos IV			telepathic, hedonistic, buttheads	
tos	1x17		Caretaken Aliens	appeared	1.0		0.8	6.0	6.0	EW	humanoid	terrestrial	friend	Shore Leave Planet				
tos	1x17		People of Rigel II	mentioned	0.0	McCoy met a pair of scantily-clad girls there.	0.5				humanoid	terrestrial	friend	Rigel II				
tos	1x18		Bird-creature of Gothos	depicted	0.0	Shot by Trelane	0.0				avian	terrestrial	unaligned					
tos	1x18		Salt Vampires of Planet M-113	depicted	0.0	Shot by Trelane	-0.5	2.0	2.0	EX	shapeshifter	terrestrial	foe	Planet M-113			sodium craving monster	
tos	1x18		Trelanes Species	appeared	1.0		-0.2	7.1	7.1	LC	incorporeal	unbounded	unaligned	Gothos				
tos	1x19		Gorn	appeared	1.0		-1.0	5.2	5.2	LC	reptilian	terrestrial	foe		Gorn Hegemony			
tos	1x19		Metron	appeared	1.0		0.3	6.2	6.2	LC	humanoid	terrestrial	unaligned			ancient Greek	morally superior	
tos	1x20		Anti-Lazaruss Species	appeared	1.0		-0.8	6.1	6.1	EX	humanoid	terrestrial	foe	The Uncharted Iron-silica Planet				
tos	1x20		Lazarus Species	appeared	1.0		0.8	6.1	6.1	EX	humanoid	terrestrial	friend	The Uncharted Iron-silica Planet				
tos	1x21		Matriarchs of Cygnet XIV	mentioned	0.1	Enterprise computer programed with a felame voice there.	0.8	5.2	5.2	LC	humanoid	terrestrial	friend	Cygnet XIV			matriarchical 	
tos	1x22		Archons	mentioned	1.0		1.0	5.2	5.2	EX	human	terrestrial	friend	Beta III				
tos	1x22		Children of Landru	appeared	1.0		0.0	3.1	3.1	VU	humanoid	terrestrial	friend	Beta III				
tos	1x23		Eminian	appeared	1.0		-0.5	4.2	4.2	VU	humanoid	terrestrial	friend	Eminiar VII	Eminian Union			
tos	1x23		People of Vendikar	mentioned	1.0		-0.5	4.2	4.2	VU	humanoid	terrestrial	unaligned	Vendikar				
tos	1x24		Colonists of Omicron Ceti III	appeared	1.0		0.8	2.2	2.2	CR	human	terrestrial	unaligned	Omicron Ceti III		human		
tos	1x24	NI	Omicron Pod Plants	appeared	1.0		-1.0	0.0	0.0	LC	plant	spaceborne	unaligned					
tos	1x24		People of Berengaria VII	mentioned	0.0		1.0	5.2	5.2	LC	humanoid	terrestrial	unaligned	Berengaria VII	Federation			
tos	1x25		Horta	appeared	1.0		0.5	0.0	1.0	VU	silicon-based	subterranean	friend	Janus VI				
tos	1x27		Klingon	appeared	1.0		-1.0	5.2	5.2	LC	humanoid	terrestrial	friend	QonoS	Klingon Empire	aggressive		
tos	1x27		Organian	appeared	1.0		0.0	7.1	7.1	LC	incorporeal	unbounded	unaligned	Organia				
tos	1x28	Y	Guardian of Forever	appeared	1.0		0.0	6.2	6.2				unaligned					
tos	1x28		Guardian of Forevers Makers	mentioned	1.0		0.0	6.2	6.2	EX			unaligned					
tos	1x28		Inhabitants of the Alnitak System	implied	0.0	Alnitak writer wrote a classic theme to the words, "Let me help you."							unaligned					
tos	1x29		Inhabitants of Beta Portolan	mentioned	0.2					EX	humanoid	terrestrial	unaligned					
tos	1x29		Inhabitants of Ingraham B	mentioned	0.2					EX	humanoid	terrestrial	unaligned					
tos	1x29		Inhabitants of Levinius V	mentioned	0.2					EX	humanoid	terrestrial	unaligned					
tos	1x29		Inhabitants of Theta Cygni XII	mentioned	0.2					EX	humanoid	terrestrial	unaligned					
tos	1x29	NI	Neural Collective Parasites	appeared	1.0		-1.5	0.0	0.0	LC	internal parasite	spaceborne	unaligned					
