UniqueID	EpisodeID	DeathBy	MetaDeathBy	Capacity	Depiction	Shirt	Rank	VictimSpecies	Victim	ResponsibleParty	ResponsiblePartySpecies	BodyCount	TimeMin	TimeSec	Comment
1	tos0x01	death by being impaled through the abdomen	death by impaling		death			Kalar	Kalar warrior	Christopher Pike	Human	1	27:46	1666	pike@barbarian
2	tos1x01	death by collision with galactic barrier	death by space ship accident	accident	death			Human	USS Enterprise crewmen			9	10:20	620	9 crewmen
3	tos1x01	death by telekinetic strangulation	death by strangulation	line of duty	death			Human	Lee Kelso	Gary Mitchell	Human	1	35:55	2155	Kelso by Gary
4	tos1x01	death by being crushed under rocks	death by being crushed		death	yellow	Lieutenant Commander	Human	Gary Mitchell	Kirk	Human	1	47:15	2835	Gary rock slide
5	tos1x01	death by being drained of powers	death by being drained of energy	line of duty	death	blue		Human	Elizabeth Dehner	Elizabeth Dehner	Human	1	47:55	2875	Dehner
6	tos1x05	death by being drained of salt	death by being drained of energy	line of duty	death	blue	Crewman	Human	Darnell	Salt Vampire	Salt Vampires of Planet M-113	1	8:00	480	salt vampire@Darnell,Sturgeon,Green,Barnhart,Crater
7	tos1x05	death by being drained of salt	death by being drained of energy	line of duty	death	blue		Human	Sturgeon	Salt Vampire	Salt Vampires of Planet M-112	1	18:40	1120	salt vampire@Darnell,Sturgeon,Green,Barnhart,Crater
8	tos1x05	death by being drained of salt	death by being drained of energy	line of duty	death	yellow	Crewman	Human	Green	Salt Vampire	Salt Vampires of Planet M-111	1	18:42	1122	salt vampire@Darnell,Sturgeon,Green,Barnhart,Crater
9	tos1x05	death by being drained of salt	death by being drained of energy	line of duty	death			Human	Barnhart	Salt Vampire	Salt Vampires of Planet M-110	1	30:09	1809	salt vampire@Darnell,Sturgeon,Green,Barnhart,Crater
10	tos1x05	death by being drained of salt	death by being drained of energy	predation	death			Human	Robert Crater	Salt Vampire	Salt Vampires of Planet M-109	1	44:20	2660	salt vampire@Darnell,Sturgeon,Green,Barnhart,Crater
11	tos1x05	death by phaser disintegration	death by directed energy weapon	self-defense	death			Salt Vampires of Planet M-109	Salt Vampire	McCoy	Human	1	47:51	2871	creature by McCoy
12	tos1x06	death by freezing	death by freezing		body			Human	Psi 2000 scientist			5	0:00	0	officer x5
13	tos1x06	suicide by loss of will to live	suicide by various means		death	blue	Lieutenant Junior Grade	Human	Joe Tormolen			1	16:00	960	Tormolen
14	tos1x06	death by strangulation	death by strangulation		body			Human	Psi 2000 scientist	Psi 2000 scientist	Human	1	0:00	0	frozen woman by station scientist
15	tos1x07	death by ship explosion	death by explosion	murder	mentioned			Human	Antares crew	Charlie X	Human	20	15:35	935	officer x20
16	tos1x07	death by psychokinetic disintegration	death by disintegration	apparent, murder	death			Human	Sam	Charlie X	Human	1	27:45	1665	Sam disintegrated by Charlie, but later restored to life by Thasians
17	tos1x08	death by high energy plasma beam	death by disintegration	casualty of war	death			Human	Hanson	Romulans	Romulan	1	11:20	680	Hanson by Romulan ship
18	tos1x08	death by radiation burns	death by radiation exposure	line of duty	mentioned			Human	USS Enterprise crewmen	Romulans	Romulan	22	41:50	2510	Romulans@Federation x22
19	tos1x08	suicide by ship self-destruction	suicide by various means	suicide	death			Romulan	Romulans	Romulan flagship crew	Romulan	5	47:00	2820	Romulan Flagship x5
20	tos1x08	death by coolant fume inhalation	death by asphyxiation	line of duty	death	yellow	Lieutenant	Human	Robert Tomlinson			1	45:00	2700	crewman Tomlinson
21	tos1x08	death by complications from being crushed under heavy object	death by being crushed		death			Romulan	Romulan centurion			1	34:00	2040	Romulan centurion
22	tos1x09	death by phaser disintegration	death by directed energy weapon		death			Androids of Exo III	Ruk	Roger Korby	Androids of Exo III	1	42:50	2570	Korby@Ruk, Andrea@Impostor Kirk, Korby@Andrea/self
23	tos1x09	death by phaser disintegration	death by directed energy weapon		death			Androids of Exo III	Android Kirk	Andrea	Androids of Exo III	1	44:50	2690	Korby@Ruk, Andrea@Impostor Kirk, Korby@Andrea/self
24	tos1x09	death by phaser disintegration	death by directed energy weapon	suicide	death			Androids of Exo III	Roger Korby	Roger Korby	Androids of Exo III	1	47:40	2860	Korby@Ruk, Andrea@Impostor Kirk, Korby@Andrea/self
25	tos1x09	death by phaser blast	death by directed energy weapon		death			Androids of Exo III	Brown	Kirk	Human	1	13:00	780	Kirk@Brown
